image_path,true_label,pred_label,correct,loss,prob_Authentic,prob_Forged
dataset\CASIA2\test\Authentic\Au_ani_00012.jpg,Authentic,Authentic,1,0.02997036650776863,0.9704743,0.029525656
dataset\CASIA2\test\Authentic\Au_ani_00018.jpg,Authentic,Authentic,1,0.003051032545045018,0.9969536,0.0030463778
dataset\CASIA2\test\Authentic\Au_ani_00020.jpg,Authentic,Authentic,1,0.0035173948854207993,0.9964888,0.0035112095
dataset\CASIA2\test\Authentic\Au_ani_00021.jpg,Authentic,Authentic,1,0.0002889215829782188,0.9997111,0.00028883215
dataset\CASIA2\test\Authentic\Au_ani_00023.jpg,Authentic,Authentic,1,0.0024953915271908045,0.9975077,0.002492256
dataset\CASIA2\test\Authentic\Au_ani_00031.jpg,Authentic,Authentic,1,0.020291481167078018,0.979913,0.020086987
dataset\CASIA2\test\Authentic\Au_ani_00034.jpg,Authentic,Authentic,1,0.024965744465589523,0.97534335,0.024656707
dataset\CASIA2\test\Authentic\Au_ani_00036.jpg,Authentic,Authentic,1,2.5629668016335927e-05,0.99997437,2.5664176e-05
dataset\CASIA2\test\Authentic\Au_ani_00052.jpg,Authentic,Authentic,1,0.00017963226127903908,0.9998204,0.00017955912
dataset\CASIA2\test\Authentic\Au_ani_00056.jpg,Authentic,Authentic,1,0.0004752936656586826,0.99952483,0.000475239
dataset\CASIA2\test\Authentic\Au_ani_00060.jpg,Authentic,Forged,0,1.0629667043685913,0.3454295,0.6545705
dataset\CASIA2\test\Authentic\Au_ani_00066.jpg,Authentic,Authentic,1,0.12320278584957123,0.88408434,0.11591558
dataset\CASIA2\test\Authentic\Au_ani_00068.jpg,Authentic,Authentic,1,0.00712307495996356,0.9929022,0.0070978194
dataset\CASIA2\test\Authentic\Au_ani_00071.jpg,Authentic,Authentic,1,0.013344615697860718,0.98674405,0.013255925
dataset\CASIA2\test\Authentic\Au_ani_00079.jpg,Authentic,Authentic,1,0.0010886224918067455,0.998912,0.0010880459
dataset\CASIA2\test\Authentic\Au_ani_00082.jpg,Authentic,Authentic,1,0.015041503123939037,0.98507106,0.014928969
dataset\CASIA2\test\Authentic\Au_ani_00084.jpg,Authentic,Authentic,1,0.027461154386401176,0.9729125,0.027087506
dataset\CASIA2\test\Authentic\Au_ani_00087.jpg,Authentic,Authentic,1,0.08710439503192902,0.9165814,0.083418645
dataset\CASIA2\test\Authentic\Au_ani_00089.jpg,Authentic,Authentic,1,0.00374770350754261,0.99625933,0.003740714
dataset\CASIA2\test\Authentic\Au_ani_00091.jpg,Authentic,Authentic,1,0.044822581112384796,0.9561671,0.043832853
dataset\CASIA2\test\Authentic\Au_ani_00093.jpg,Authentic,Authentic,1,0.0027516144327819347,0.99725217,0.00274786
dataset\CASIA2\test\Authentic\Au_ani_10003.jpg,Authentic,Authentic,1,0.03861263766884804,0.96212333,0.037876643
dataset\CASIA2\test\Authentic\Au_ani_10108.jpg,Authentic,Authentic,1,0.3280946910381317,0.7202948,0.27970517
dataset\CASIA2\test\Authentic\Au_ani_10111.jpg,Authentic,Authentic,1,0.07469253987073898,0.92802876,0.071971245
dataset\CASIA2\test\Authentic\Au_ani_10117.jpg,Authentic,Forged,0,1.6919841766357422,0.18415377,0.81584626
dataset\CASIA2\test\Authentic\Au_ani_10118.jpg,Authentic,Forged,0,1.4421582221984863,0.23641698,0.76358306
dataset\CASIA2\test\Authentic\Au_ani_10128.jpg,Authentic,Authentic,1,0.537444531917572,0.58423936,0.41576067
dataset\CASIA2\test\Authentic\Au_ani_10138.jpg,Authentic,Authentic,1,0.06436298787593842,0.93766457,0.06233538
dataset\CASIA2\test\Authentic\Au_ani_10144.jpg,Authentic,Authentic,1,0.0372982993721962,0.96338874,0.036611296
dataset\CASIA2\test\Authentic\Au_ani_10151.jpg,Authentic,Authentic,1,0.03707777336239815,0.9636012,0.03639882
dataset\CASIA2\test\Authentic\Au_ani_10163.jpg,Authentic,Forged,0,2.2537121772766113,0.1050087,0.8949913
dataset\CASIA2\test\Authentic\Au_ani_10166.jpg,Authentic,Authentic,1,0.2785540521144867,0.75687736,0.24312262
dataset\CASIA2\test\Authentic\Au_ani_10167.jpg,Authentic,Authentic,1,0.66241854429245,0.5156028,0.48439717
dataset\CASIA2\test\Authentic\Au_ani_10180.jpg,Authentic,Authentic,1,0.07474774122238159,0.92797756,0.072022416
dataset\CASIA2\test\Authentic\Au_ani_10181.jpg,Authentic,Authentic,1,0.09330981969833374,0.91091126,0.089088745
dataset\CASIA2\test\Authentic\Au_ani_10187.jpg,Authentic,Forged,0,0.7156385779380798,0.48887986,0.51112014
dataset\CASIA2\test\Authentic\Au_ani_10188.jpg,Authentic,Authentic,1,0.6219525337219238,0.5368951,0.4631049
dataset\CASIA2\test\Authentic\Au_ani_10189.jpg,Authentic,Authentic,1,0.10945241898298264,0.8963248,0.10367518
dataset\CASIA2\test\Authentic\Au_ani_10191.jpg,Authentic,Authentic,1,0.2885502278804779,0.7493492,0.25065082
dataset\CASIA2\test\Authentic\Au_ani_10193.jpg,Authentic,Authentic,1,0.0493474081158638,0.9518504,0.048149664
dataset\CASIA2\test\Authentic\Au_ani_10196.jpg,Authentic,Authentic,1,0.017162732779979706,0.9829837,0.017016267
