image_path,true_label,pred_label,correct,prob_Authentic,prob_Forged
dataset\CASIA2\train\Authentic\Au_ani_00001.jpg,Authentic,Authentic,1,0.9999838,1.6171996e-05
dataset\CASIA2\train\Authentic\Au_ani_00002.jpg,Authentic,Authentic,1,0.9987016,0.001298361
dataset\CASIA2\train\Authentic\Au_ani_00003.jpg,Authentic,Authentic,1,0.99979836,0.00020168723
dataset\CASIA2\train\Authentic\Au_ani_00004.jpg,Authentic,Authentic,1,0.9998373,0.00016266301
dataset\CASIA2\train\Authentic\Au_ani_00005.jpg,Authentic,Authentic,1,0.99944884,0.00055111985
dataset\CASIA2\train\Authentic\Au_ani_00006.jpg,Authentic,Authentic,1,0.9943435,0.0056564636
dataset\CASIA2\train\Authentic\Au_ani_00007.jpg,Authentic,Authentic,1,0.99994636,5.367324e-05
dataset\CASIA2\train\Authentic\Au_ani_00009.jpg,Authentic,Authentic,1,0.9999547,4.5317935e-05
dataset\CASIA2\train\Authentic\Au_ani_00010.jpg,Authentic,Authentic,1,0.8655026,0.13449742
dataset\CASIA2\train\Authentic\Au_ani_00011.jpg,Authentic,Authentic,1,0.9992472,0.0007528932
dataset\CASIA2\train\Authentic\Au_ani_00013.jpg,Authentic,Authentic,1,0.99822587,0.0017741075
dataset\CASIA2\train\Authentic\Au_ani_00014.jpg,Authentic,Authentic,1,0.9990729,0.0009270103
dataset\CASIA2\train\Authentic\Au_ani_00016.jpg,Authentic,Authentic,1,0.999508,0.000491922
dataset\CASIA2\train\Authentic\Au_ani_00017.jpg,Authentic,Authentic,1,0.99540776,0.004592235
dataset\CASIA2\train\Authentic\Au_ani_00019.jpg,Authentic,Authentic,1,0.9999709,2.9056826e-05
dataset\CASIA2\train\Authentic\Au_ani_00022.jpg,Authentic,Authentic,1,0.9961223,0.003877663
dataset\CASIA2\train\Authentic\Au_ani_00024.jpg,Authentic,Authentic,1,0.9993536,0.0006464614
dataset\CASIA2\train\Authentic\Au_ani_00025.jpg,Authentic,Authentic,1,0.9998393,0.00016064597
dataset\CASIA2\train\Authentic\Au_ani_00026.jpg,Authentic,Authentic,1,0.9989536,0.0010464401
dataset\CASIA2\train\Authentic\Au_ani_00027.jpg,Authentic,Authentic,1,0.99145365,0.008546378
dataset\CASIA2\train\Authentic\Au_ani_00028.jpg,Authentic,Authentic,1,0.99892646,0.0010734699
dataset\CASIA2\train\Authentic\Au_ani_00029.jpg,Authentic,Authentic,1,0.97534955,0.024650425
dataset\CASIA2\train\Authentic\Au_ani_00030.jpg,Authentic,Authentic,1,0.98218334,0.017816678
dataset\CASIA2\train\Authentic\Au_ani_00032.jpg,Authentic,Authentic,1,0.9997552,0.00024474214
dataset\CASIA2\train\Authentic\Au_ani_00033.jpg,Authentic,Authentic,1,0.9754867,0.024513355
dataset\CASIA2\train\Authentic\Au_ani_00035.jpg,Authentic,Authentic,1,0.9995523,0.00044760993
dataset\CASIA2\train\Authentic\Au_ani_00037.jpg,Authentic,Authentic,1,0.99922955,0.000770393
dataset\CASIA2\train\Authentic\Au_ani_00038.jpg,Authentic,Authentic,1,0.99853766,0.0014624003
dataset\CASIA2\train\Authentic\Au_ani_00039.jpg,Authentic,Authentic,1,0.9998549,0.00014506697
dataset\CASIA2\train\Authentic\Au_ani_00040.jpg,Authentic,Authentic,1,0.9104248,0.0895752
dataset\CASIA2\train\Authentic\Au_ani_00041.jpg,Authentic,Authentic,1,0.99985456,0.00014542554
dataset\CASIA2\train\Authentic\Au_ani_00043.jpg,Authentic,Authentic,1,0.99787223,0.0021277477
dataset\CASIA2\train\Authentic\Au_ani_00044.jpg,Authentic,Authentic,1,0.9970944,0.002905646
dataset\CASIA2\train\Authentic\Au_ani_00045.jpg,Authentic,Authentic,1,0.9883336,0.011666418
dataset\CASIA2\train\Authentic\Au_ani_00047.jpg,Authentic,Authentic,1,0.9997018,0.00029815026
dataset\CASIA2\train\Authentic\Au_ani_00048.jpg,Authentic,Authentic,1,0.9975915,0.0024085108
dataset\CASIA2\train\Authentic\Au_ani_00050.jpg,Authentic,Authentic,1,0.9995459,0.0004541575
dataset\CASIA2\train\Authentic\Au_ani_00053.jpg,Authentic,Authentic,1,0.9996803,0.00031975305
dataset\CASIA2\train\Authentic\Au_ani_00054.jpg,Authentic,Authentic,1,0.99920976,0.000790221
dataset\CASIA2\train\Authentic\Au_ani_00055.jpg,Authentic,Authentic,1,0.9998659,0.0001340965
dataset\CASIA2\train\Authentic\Au_ani_00057.jpg,Authentic,Authentic,1,0.9916455,0.008354534
dataset\CASIA2\train\Authentic\Au_ani_00058.jpg,Authentic,Authentic,1,0.9856823,0.014317691
dataset\CASIA2\train\Authentic\Au_ani_00059.jpg,Authentic,Authentic,1,0.9990288,0.00097119715
dataset\CASIA2\train\Authentic\Au_ani_00061.jpg,Authentic,Authentic,1,0.99699926,0.0030008003
dataset\CASIA2\train\Authentic\Au_ani_00064.jpg,Authentic,Authentic,1,0.997529,0.002471095
dataset\CASIA2\train\Authentic\Au_ani_00065.jpg,Authentic,Authentic,1,0.9990206,0.0009794394
dataset\CASIA2\train\Authentic\Au_ani_00067.jpg,Authentic,Authentic,1,0.96978533,0.030214744
dataset\CASIA2\train\Authentic\Au_ani_00069.jpg,Authentic,Authentic,1,0.9911239,0.008876107
dataset\CASIA2\train\Authentic\Au_ani_00070.jpg,Authentic,Authentic,1,0.99989283,0.00010714359
dataset\CASIA2\train\Authentic\Au_ani_00072.jpg,Authentic,Authentic,1,0.97636056,0.02363945
dataset\CASIA2\train\Authentic\Au_ani_00073.jpg,Authentic,Authentic,1,0.99322295,0.0067770425
dataset\CASIA2\train\Authentic\Au_ani_00074.jpg,Authentic,Authentic,1,0.9992569,0.0007430454
