image_path,true_label,pred_label,correct,loss,prob_Authentic,prob_Forged
dataset\Comofod Dataset\test\Authentic\001_O_CA3.png,Authentic,Authentic,1,0.0013293724041432142,0.99867153,0.0013284638
dataset\Comofod Dataset\test\Authentic\001_O_IB3.png,Authentic,Authentic,1,0.18341831862926483,0.8324199,0.16758011
dataset\Comofod Dataset\test\Authentic\001_O_JC4.jpg,Authentic,Authentic,1,0.054293543100357056,0.94715405,0.052846
dataset\Comofod Dataset\test\Authentic\001_O_JC8.jpg,Authentic,Authentic,1,0.00031406714697368443,0.999686,0.00031397335
dataset\Comofod Dataset\test\Authentic\002_O_CA2.png,Authentic,Authentic,1,0.03866264596581459,0.96207523,0.037924808
dataset\Comofod Dataset\test\Authentic\003_O.png,Authentic,Authentic,1,0.006473049987107515,0.99354786,0.0064522037
dataset\Comofod Dataset\test\Authentic\003_O_IB3.png,Authentic,Authentic,1,0.6641483306884766,0.5147117,0.48528832
dataset\Comofod Dataset\test\Authentic\004_O_CR1.png,Authentic,Authentic,1,0.5836368799209595,0.55786574,0.44213423
dataset\Comofod Dataset\test\Authentic\004_O_NA1.png,Authentic,Forged,0,1.3770520687103271,0.25232127,0.7476787
dataset\Comofod Dataset\test\Authentic\004_O_NA3.png,Authentic,Forged,0,2.015749931335449,0.13322046,0.8667795
dataset\Comofod Dataset\test\Authentic\005_O_BC3.png,Authentic,Authentic,1,0.005666146986186504,0.9943499,0.005650095
dataset\Comofod Dataset\test\Authentic\005_O_JC1.jpg,Authentic,Authentic,1,0.14154981076717377,0.86801195,0.131988
dataset\Comofod Dataset\test\Authentic\005_O_JC2.jpg,Authentic,Authentic,1,0.005875577684491873,0.99414164,0.0058583776
dataset\Comofod Dataset\test\Authentic\005_O_JC5.jpg,Authentic,Authentic,1,0.0009153467253781855,0.99908507,0.00091495883
dataset\Comofod Dataset\test\Authentic\005_O_JC6.jpg,Authentic,Authentic,1,0.0011729273246601224,0.99882776,0.0011722506
dataset\Comofod Dataset\test\Authentic\005_O_JC8.jpg,Authentic,Authentic,1,0.015892622992396355,0.984233,0.015767058
dataset\Comofod Dataset\test\Authentic\005_O_NA3.png,Authentic,Authentic,1,0.14731493592262268,0.86302215,0.13697788
dataset\Comofod Dataset\test\Authentic\006_O_CA1.png,Authentic,Authentic,1,0.003851378569379449,0.99615604,0.0038439971
dataset\Comofod Dataset\test\Authentic\006_O_CR1.png,Authentic,Authentic,1,0.003812071168795228,0.9961952,0.003804852
dataset\Comofod Dataset\test\Authentic\006_O_NA1.png,Authentic,Authentic,1,0.042878177016973495,0.9580281,0.04197196
dataset\Comofod Dataset\test\Authentic\007_O_CR1.png,Authentic,Forged,0,0.7353330254554749,0.4793458,0.5206542
dataset\Comofod Dataset\test\Authentic\007_O_IB3.png,Authentic,Authentic,1,0.5563322305679321,0.573308,0.426692
dataset\Comofod Dataset\test\Authentic\008_O_IB2.png,Authentic,Authentic,1,0.006716888397932053,0.9933056,0.0066943853
dataset\Comofod Dataset\test\Authentic\008_O_JC1.jpg,Authentic,Authentic,1,0.010409113019704819,0.9896449,0.01035516
dataset\Comofod Dataset\test\Authentic\008_O_JC2.jpg,Authentic,Authentic,1,0.005251422990113497,0.99476236,0.005237662
dataset\Comofod Dataset\test\Authentic\008_O_JC7.jpg,Authentic,Authentic,1,0.006389664486050606,0.9936307,0.0063693384
dataset\Comofod Dataset\test\Authentic\008_O_NA1.png,Authentic,Authentic,1,0.001608031801879406,0.99839324,0.0016067306
dataset\Comofod Dataset\test\Authentic\009_O_CA1.png,Authentic,Authentic,1,0.0026424750685691833,0.997361,0.0026390285
dataset\Comofod Dataset\test\Authentic\010_O_CR3.png,Authentic,Authentic,1,0.012350627221167088,0.9877253,0.012274722
dataset\Comofod Dataset\test\Authentic\010_O_IB2.png,Authentic,Authentic,1,0.2867220342159271,0.7507204,0.24927963
dataset\Comofod Dataset\test\Authentic\010_O_IB3.png,Authentic,Authentic,1,0.390450119972229,0.6767522,0.3232478
dataset\Comofod Dataset\test\Authentic\010_O_NA1.png,Authentic,Forged,0,0.7225583791732788,0.4855086,0.5144914
dataset\Comofod Dataset\test\Authentic\010_O_NA2.png,Authentic,Authentic,1,0.41440528631210327,0.6607331,0.33926693
dataset\Comofod Dataset\test\Authentic\010_O_NA3.png,Authentic,Authentic,1,0.04510168731212616,0.95590025,0.044099748
dataset\Comofod Dataset\test\Authentic\011_O_CR3.png,Authentic,Authentic,1,0.02699851803481579,0.9733627,0.02663732
dataset\Comofod Dataset\test\Authentic\011_O_IB2.png,Authentic,Authentic,1,0.03488168492913246,0.96571964,0.034280304
dataset\Comofod Dataset\test\Authentic\011_O_JC4.jpg,Authentic,Authentic,1,0.022393453866243362,0.97785544,0.0221446
dataset\Comofod Dataset\test\Authentic\011_O_JC9.jpg,Authentic,Authentic,1,0.008148521184921265,0.9918846,0.008115384
dataset\Comofod Dataset\test\Authentic\011_O_NA2.png,Authentic,Authentic,1,0.027473099529743195,0.97290087,0.02709917
dataset\Comofod Dataset\test\Authentic\012_O_BC1.png,Authentic,Authentic,1,0.05800779536366463,0.9436426,0.056357387
dataset\Comofod Dataset\test\Authentic\012_O_CA3.png,Authentic,Authentic,1,0.05782577022910118,0.9438144,0.056185678
dataset\Comofod Dataset\test\Authentic\012_O_IB3.png,Authentic,Authentic,1,0.266057550907135,0.76639503,0.23360497
dataset\Comofod Dataset\test\Authentic\013_O_JC7.jpg,Authentic,Authentic,1,0.003380776150152087,0.99662495,0.0033751125
dataset\Comofod Dataset\test\Authentic\013_O_JC9.jpg,Authentic,Authentic,1,0.0016482589999213815,0.9983531,0.0016469393
dataset\Comofod Dataset\test\Authentic\013_O_NA1.png,Authentic,Authentic,1,0.0009536962606944144,0.99904674,0.0009532747
dataset\Comofod Dataset\test\Authentic\014_O_BC1.png,Authentic,Authentic,1,0.0018735252087935805,0.99812824,0.0018717777
dataset\Comofod Dataset\test\Authentic\014_O_BC2.png,Authentic,Authentic,1,0.001891610911116004,0.9981102,0.0018898039
dataset\Comofod Dataset\test\Authentic\014_O_BC3.png,Authentic,Authentic,1,0.0028028511442244053,0.9972011,0.0027989806
dataset\Comofod Dataset\test\Authentic\014_O_CA3.png,Authentic,Authentic,1,0.0016362386522814631,0.9983651,0.0016348562
dataset\Comofod Dataset\test\Authentic\014_O_CR2.png,Authentic,Authentic,1,0.0011651878012344241,0.9988355,0.0011645684
dataset\Comofod Dataset\test\Authentic\014_O_JC5.jpg,Authentic,Authentic,1,0.0020053531043231487,0.9979966,0.0020033973
dataset\Comofod Dataset\test\Authentic\015_O.png,Authentic,Authentic,1,0.0019394413102418184,0.99806243,0.0019375075
dataset\Comofod Dataset\test\Authentic\015_O_BC3.png,Authentic,Authentic,1,0.0009729895391501486,0.9990275,0.00097255653
dataset\Comofod Dataset\test\Authentic\015_O_CA1.png,Authentic,Authentic,1,0.0010152667528018355,0.99898523,0.001014728
dataset\Comofod Dataset\test\Authentic\016_O.png,Authentic,Authentic,1,0.06583692133426666,0.9362835,0.06371648
dataset\Comofod Dataset\test\Authentic\016_O_CA1.png,Authentic,Authentic,1,0.09448233246803284,0.9098438,0.09015618
dataset\Comofod Dataset\test\Authentic\016_O_CA3.png,Authentic,Authentic,1,0.058729615062475204,0.9429617,0.05703825
dataset\Comofod Dataset\test\Authentic\016_O_IB1.png,Authentic,Authentic,1,0.22915154695510864,0.79520804,0.20479196
dataset\Comofod Dataset\test\Authentic\016_O_JC8.jpg,Authentic,Authentic,1,0.05157867446541786,0.9497289,0.050271064
dataset\Comofod Dataset\test\Authentic\016_O_NA1.png,Authentic,Forged,0,0.7900949120521545,0.4538017,0.5461983
