image_path,true_label,pred_label,correct,prob_Authentic,prob_Forged
dataset\Comofod Dataset\train\Authentic\001_O.png,Authentic,Authentic,1,0.99934024,0.00065976713
dataset\Comofod Dataset\train\Authentic\001_O_BC1.png,Authentic,Authentic,1,0.9988556,0.0011443512
dataset\Comofod Dataset\train\Authentic\001_O_BC2.png,Authentic,Authentic,1,0.9988537,0.0011463341
dataset\Comofod Dataset\train\Authentic\001_O_BC3.png,Authentic,Authentic,1,0.996075,0.003925012
dataset\Comofod Dataset\train\Authentic\001_O_CA1.png,Authentic,Authentic,1,0.9995073,0.00049272826
dataset\Comofod Dataset\train\Authentic\001_O_CA2.png,Authentic,Authentic,1,0.99821883,0.0017811618
dataset\Comofod Dataset\train\Authentic\001_O_CR1.png,Authentic,Authentic,1,0.9966318,0.0033682243
dataset\Comofod Dataset\train\Authentic\001_O_CR2.png,Authentic,Authentic,1,0.99891627,0.0010838
dataset\Comofod Dataset\train\Authentic\001_O_IB1.png,Authentic,Authentic,1,0.993234,0.0067660105
dataset\Comofod Dataset\train\Authentic\001_O_IB2.png,Authentic,Authentic,1,0.9417893,0.058210623
dataset\Comofod Dataset\train\Authentic\001_O_JC1.jpg,Authentic,Authentic,1,0.98516744,0.014832604
dataset\Comofod Dataset\train\Authentic\001_O_JC2.jpg,Authentic,Authentic,1,0.998073,0.001927019
dataset\Comofod Dataset\train\Authentic\001_O_JC5.jpg,Authentic,Authentic,1,0.98140967,0.01859036
dataset\Comofod Dataset\train\Authentic\001_O_JC6.jpg,Authentic,Authentic,1,0.99452,0.005479997
dataset\Comofod Dataset\train\Authentic\001_O_JC7.jpg,Authentic,Authentic,1,0.9966403,0.0033596423
dataset\Comofod Dataset\train\Authentic\001_O_JC9.jpg,Authentic,Authentic,1,0.9955843,0.0044156797
dataset\Comofod Dataset\train\Authentic\001_O_NA1.png,Authentic,Authentic,1,0.9747721,0.025227953
dataset\Comofod Dataset\train\Authentic\001_O_NA2.png,Authentic,Authentic,1,0.9821698,0.017830241
dataset\Comofod Dataset\train\Authentic\001_O_NA3.png,Authentic,Authentic,1,0.9839115,0.016088543
dataset\Comofod Dataset\train\Authentic\002_O.png,Authentic,Authentic,1,0.95719063,0.042809434
dataset\Comofod Dataset\train\Authentic\002_O_BC1.png,Authentic,Authentic,1,0.9554971,0.044502933
dataset\Comofod Dataset\train\Authentic\002_O_BC2.png,Authentic,Authentic,1,0.95095855,0.04904147
dataset\Comofod Dataset\train\Authentic\002_O_BC3.png,Authentic,Authentic,1,0.80050576,0.19949423
dataset\Comofod Dataset\train\Authentic\002_O_CA1.png,Authentic,Authentic,1,0.94367635,0.05632366
dataset\Comofod Dataset\train\Authentic\002_O_CA3.png,Authentic,Authentic,1,0.98497075,0.015029255
dataset\Comofod Dataset\train\Authentic\002_O_CR1.png,Authentic,Authentic,1,0.9724778,0.027522257
dataset\Comofod Dataset\train\Authentic\002_O_CR3.png,Authentic,Authentic,1,0.97793156,0.022068461
dataset\Comofod Dataset\train\Authentic\002_O_IB1.png,Authentic,Authentic,1,0.97884387,0.021156058
dataset\Comofod Dataset\train\Authentic\002_O_IB2.png,Authentic,Authentic,1,0.9605247,0.039475285
dataset\Comofod Dataset\train\Authentic\002_O_IB3.png,Authentic,Authentic,1,0.81268406,0.18731591
dataset\Comofod Dataset\train\Authentic\002_O_JC1.jpg,Authentic,Authentic,1,0.86307186,0.13692816
dataset\Comofod Dataset\train\Authentic\002_O_JC2.jpg,Authentic,Authentic,1,0.90492445,0.0950756
dataset\Comofod Dataset\train\Authentic\002_O_JC4.jpg,Authentic,Authentic,1,0.91996914,0.08003087
dataset\Comofod Dataset\train\Authentic\002_O_JC5.jpg,Authentic,Authentic,1,0.9451219,0.054878075
dataset\Comofod Dataset\train\Authentic\002_O_JC7.jpg,Authentic,Authentic,1,0.9218411,0.07815892
dataset\Comofod Dataset\train\Authentic\002_O_JC8.jpg,Authentic,Authentic,1,0.97613686,0.023863118
dataset\Comofod Dataset\train\Authentic\002_O_JC9.jpg,Authentic,Authentic,1,0.9527416,0.047258433
dataset\Comofod Dataset\train\Authentic\002_O_NA1.png,Authentic,Authentic,1,0.83482856,0.16517144
dataset\Comofod Dataset\train\Authentic\002_O_NA2.png,Authentic,Authentic,1,0.98684156,0.013158476
dataset\Comofod Dataset\train\Authentic\002_O_NA3.png,Authentic,Authentic,1,0.9593537,0.040646333
dataset\Comofod Dataset\train\Authentic\003_O_BC1.png,Authentic,Authentic,1,0.9853057,0.014694332
dataset\Comofod Dataset\train\Authentic\003_O_BC3.png,Authentic,Authentic,1,0.8603807,0.1396193
dataset\Comofod Dataset\train\Authentic\003_O_CA1.png,Authentic,Authentic,1,0.9838307,0.01616924
dataset\Comofod Dataset\train\Authentic\003_O_CA2.png,Authentic,Authentic,1,0.98645496,0.013545006
dataset\Comofod Dataset\train\Authentic\003_O_CA3.png,Authentic,Authentic,1,0.9790618,0.020938212
dataset\Comofod Dataset\train\Authentic\003_O_CR1.png,Authentic,Authentic,1,0.9904068,0.009593174
dataset\Comofod Dataset\train\Authentic\003_O_CR2.png,Authentic,Authentic,1,0.98812705,0.011872937
dataset\Comofod Dataset\train\Authentic\003_O_IB2.png,Authentic,Authentic,1,0.6262289,0.3737711
dataset\Comofod Dataset\train\Authentic\003_O_JC1.jpg,Authentic,Authentic,1,0.9768074,0.023192659
dataset\Comofod Dataset\train\Authentic\003_O_JC2.jpg,Authentic,Authentic,1,0.9803862,0.019613726
dataset\Comofod Dataset\train\Authentic\003_O_JC3.jpg,Authentic,Authentic,1,0.97100914,0.028990878
dataset\Comofod Dataset\train\Authentic\003_O_JC4.jpg,Authentic,Authentic,1,0.9655387,0.03446134
dataset\Comofod Dataset\train\Authentic\003_O_JC5.jpg,Authentic,Authentic,1,0.9915558,0.008444125
dataset\Comofod Dataset\train\Authentic\003_O_JC6.jpg,Authentic,Authentic,1,0.98875636,0.011243627
dataset\Comofod Dataset\train\Authentic\003_O_JC7.jpg,Authentic,Authentic,1,0.99321353,0.0067864177
dataset\Comofod Dataset\train\Authentic\003_O_JC8.jpg,Authentic,Authentic,1,0.990558,0.009441971
dataset\Comofod Dataset\train\Authentic\003_O_JC9.jpg,Authentic,Authentic,1,0.9683195,0.031680543
dataset\Comofod Dataset\train\Authentic\003_O_NA1.png,Authentic,Authentic,1,0.9593979,0.040602043
dataset\Comofod Dataset\train\Authentic\003_O_NA2.png,Authentic,Authentic,1,0.9700623,0.02993768
dataset\Comofod Dataset\train\Authentic\003_O_NA3.png,Authentic,Authentic,1,0.93042433,0.06957573
dataset\Comofod Dataset\train\Authentic\004_O.png,Authentic,Authentic,1,0.8186009,0.18139908
dataset\Comofod Dataset\train\Authentic\004_O_BC2.png,Authentic,Authentic,1,0.8506278,0.14937218
dataset\Comofod Dataset\train\Authentic\004_O_BC3.png,Authentic,Authentic,1,0.68893766,0.31106234
dataset\Comofod Dataset\train\Authentic\004_O_CA2.png,Authentic,Authentic,1,0.8657577,0.13424228
dataset\Comofod Dataset\train\Authentic\004_O_CA3.png,Authentic,Authentic,1,0.89062166,0.10937832
dataset\Comofod Dataset\train\Authentic\004_O_CR3.png,Authentic,Forged,0,0.18818702,0.811813
dataset\Comofod Dataset\train\Authentic\004_O_IB1.png,Authentic,Authentic,1,0.6127768,0.38722315
dataset\Comofod Dataset\train\Authentic\004_O_IB2.png,Authentic,Forged,0,0.41810268,0.5818974
dataset\Comofod Dataset\train\Authentic\004_O_IB3.png,Authentic,Forged,0,0.3714244,0.6285756
dataset\Comofod Dataset\train\Authentic\004_O_JC1.jpg,Authentic,Forged,0,0.1366572,0.86334276
dataset\Comofod Dataset\train\Authentic\004_O_JC2.jpg,Authentic,Authentic,1,0.84945977,0.15054026
dataset\Comofod Dataset\train\Authentic\004_O_JC3.jpg,Authentic,Authentic,1,0.50130516,0.49869487
dataset\Comofod Dataset\train\Authentic\004_O_JC4.jpg,Authentic,Forged,0,0.49158138,0.5084187
dataset\Comofod Dataset\train\Authentic\004_O_JC7.jpg,Authentic,Forged,0,0.29005358,0.70994645
dataset\Comofod Dataset\train\Authentic\004_O_JC9.jpg,Authentic,Forged,0,0.2196782,0.78032184
dataset\Comofod Dataset\train\Authentic\004_O_NA2.png,Authentic,Forged,0,0.48476845,0.5152316
dataset\Comofod Dataset\train\Authentic\005_O.png,Authentic,Authentic,1,0.9960508,0.003949269
dataset\Comofod Dataset\train\Authentic\005_O_BC1.png,Authentic,Authentic,1,0.98282003,0.017179977
dataset\Comofod Dataset\train\Authentic\005_O_CA1.png,Authentic,Authentic,1,0.9924325,0.0075675477
dataset\Comofod Dataset\train\Authentic\005_O_CA2.png,Authentic,Authentic,1,0.98671806,0.013281927
dataset\Comofod Dataset\train\Authentic\005_O_CA3.png,Authentic,Authentic,1,0.9988576,0.001142381
dataset\Comofod Dataset\train\Authentic\005_O_CR1.png,Authentic,Authentic,1,0.97709537,0.022904638
dataset\Comofod Dataset\train\Authentic\005_O_CR2.png,Authentic,Authentic,1,0.9761865,0.02381343
dataset\Comofod Dataset\train\Authentic\005_O_CR3.png,Authentic,Authentic,1,0.93679893,0.063201055
dataset\Comofod Dataset\train\Authentic\005_O_IB1.png,Authentic,Authentic,1,0.953311,0.046688925
dataset\Comofod Dataset\train\Authentic\005_O_IB2.png,Authentic,Authentic,1,0.9753066,0.024693377
dataset\Comofod Dataset\train\Authentic\005_O_IB3.png,Authentic,Authentic,1,0.8984918,0.10150818
dataset\Comofod Dataset\train\Authentic\005_O_JC3.jpg,Authentic,Authentic,1,0.9965353,0.003464643
dataset\Comofod Dataset\train\Authentic\005_O_JC4.jpg,Authentic,Authentic,1,0.99438286,0.0056171757
dataset\Comofod Dataset\train\Authentic\005_O_JC7.jpg,Authentic,Authentic,1,0.99427855,0.005721402
dataset\Comofod Dataset\train\Authentic\005_O_JC9.jpg,Authentic,Authentic,1,0.9957653,0.004234699
dataset\Comofod Dataset\train\Authentic\006_O.png,Authentic,Authentic,1,0.99486226,0.005137715
dataset\Comofod Dataset\train\Authentic\006_O_BC1.png,Authentic,Authentic,1,0.99639076,0.003609225
dataset\Comofod Dataset\train\Authentic\006_O_BC3.png,Authentic,Authentic,1,0.99763167,0.0023682679
dataset\Comofod Dataset\train\Authentic\006_O_CA2.png,Authentic,Authentic,1,0.99864143,0.0013585433
dataset\Comofod Dataset\train\Authentic\006_O_CA3.png,Authentic,Authentic,1,0.9959181,0.0040818676
dataset\Comofod Dataset\train\Authentic\006_O_CR2.png,Authentic,Authentic,1,0.99711335,0.0028866453
dataset\Comofod Dataset\train\Authentic\006_O_IB1.png,Authentic,Authentic,1,0.9870041,0.012995929
dataset\Comofod Dataset\train\Authentic\006_O_IB2.png,Authentic,Authentic,1,0.9903458,0.009654229
dataset\Comofod Dataset\train\Authentic\006_O_IB3.png,Authentic,Authentic,1,0.8932313,0.10676874
dataset\Comofod Dataset\train\Authentic\006_O_JC1.jpg,Authentic,Authentic,1,0.9936068,0.00639315
dataset\Comofod Dataset\train\Authentic\006_O_JC2.jpg,Authentic,Authentic,1,0.9594957,0.04050428
dataset\Comofod Dataset\train\Authentic\006_O_JC4.jpg,Authentic,Authentic,1,0.99611735,0.0038826982
dataset\Comofod Dataset\train\Authentic\006_O_JC5.jpg,Authentic,Authentic,1,0.99855155,0.0014484223
dataset\Comofod Dataset\train\Authentic\006_O_JC7.jpg,Authentic,Authentic,1,0.9999633,3.670263e-05
dataset\Comofod Dataset\train\Authentic\006_O_JC8.jpg,Authentic,Authentic,1,0.9990011,0.0009989449
dataset\Comofod Dataset\train\Authentic\006_O_JC9.jpg,Authentic,Authentic,1,0.9848801,0.015119939
dataset\Comofod Dataset\train\Authentic\006_O_NA2.png,Authentic,Authentic,1,0.9674567,0.032543294
dataset\Comofod Dataset\train\Authentic\006_O_NA3.png,Authentic,Authentic,1,0.98146904,0.01853101
dataset\Comofod Dataset\train\Authentic\007_O.png,Authentic,Authentic,1,0.81232923,0.1876708
dataset\Comofod Dataset\train\Authentic\007_O_BC1.png,Authentic,Authentic,1,0.6133758,0.38662422
dataset\Comofod Dataset\train\Authentic\007_O_BC2.png,Authentic,Authentic,1,0.5208999,0.47910014
dataset\Comofod Dataset\train\Authentic\007_O_BC3.png,Authentic,Authentic,1,0.6197608,0.3802392
