image_path,true_label,pred_label,correct,loss,prob_Authentic,prob_Forged
dataset\MICC-F220\test\Authentic\CRW_4810_scale.jpg,Authentic,Authentic,1,0.30898815393447876,0.73418945,0.26581058
dataset\MICC-F220\test\Authentic\CRW_4815_scale.jpg,Authentic,Authentic,1,0.2221163958311081,0.80082214,0.19917785
dataset\MICC-F220\test\Authentic\CRW_4823_scale.jpg,Authentic,Authentic,1,0.1875903606414795,0.8289542,0.17104577
dataset\MICC-F220\test\Authentic\CRW_4831_scale.jpg,Authentic,Authentic,1,0.5698692798614502,0.5655994,0.43440065
dataset\MICC-F220\test\Authentic\CRW_4833_scale.jpg,Authentic,Authentic,1,0.24723735451698303,0.7809553,0.21904474
dataset\MICC-F220\test\Authentic\CRW_4836_scale.jpg,Authentic,Forged,0,0.7296107411384583,0.4820966,0.5179033
dataset\MICC-F220\test\Authentic\DSCF11_scale.jpg,Authentic,Authentic,1,0.1382206529378891,0.8709065,0.1290935
dataset\MICC-F220\test\Authentic\DSCF2_scale.jpg,Authentic,Authentic,1,0.13418346643447876,0.87442964,0.12557036
dataset\MICC-F220\test\Authentic\DSCN2327_scale.jpg,Authentic,Authentic,1,0.46237465739250183,0.6297864,0.37021363
dataset\MICC-F220\test\Authentic\DSCN48_scale.jpg,Authentic,Authentic,1,0.22564543783664703,0.798001,0.20199901
dataset\MICC-F220\test\Authentic\DSC_0535_scale.jpg,Authentic,Forged,0,3.5365617275238037,0.029113257,0.9708867
dataset\MICC-F220\test\Authentic\DSC_1568_scale.jpg,Authentic,Forged,0,5.405237197875977,0.0044929893,0.995507
dataset\MICC-F220\test\Authentic\DSC_1571_scale.jpg,Authentic,Authentic,1,0.1274915188550949,0.8803009,0.11969911
dataset\MICC-F220\test\Authentic\DSC_1572_scale.jpg,Authentic,Authentic,1,0.03053072653710842,0.96993065,0.030069364
dataset\MICC-F220\test\Authentic\DSC_1573_scale.jpg,Authentic,Authentic,1,0.32106703519821167,0.72537464,0.27462542
dataset\MICC-F220\test\Authentic\P1000293_scale.jpg,Authentic,Forged,0,3.305607318878174,0.036676932,0.9633231
dataset\MICC-F220\test\Authentic\sony_69_scale.jpg,Authentic,Authentic,1,0.12139411270618439,0.88568485,0.11431517
dataset\MICC-F220\test\Forged\CRW_4853tamp133.jpg,Forged,Forged,1,0.01592840813100338,0.015802253,0.9841978
dataset\MICC-F220\test\Forged\CRW_4853tamp37.jpg,Forged,Forged,1,0.03298981115221977,0.03245155,0.96754843
dataset\MICC-F220\test\Forged\CRW_4901_JFRtamp37.jpg,Forged,Forged,1,0.01689927466213703,0.016757304,0.9832427
dataset\MICC-F220\test\Forged\DSCF8tamp133.jpg,Forged,Forged,1,0.006968362256884575,0.0069440943,0.9930559
dataset\MICC-F220\test\Forged\DSCN41tamp176.jpg,Forged,Forged,1,0.14435294270515442,0.13441782,0.86558217
dataset\MICC-F220\test\Forged\DSCN45tamp131.jpg,Forged,Forged,1,0.10723698884248734,0.10168723,0.89831275
dataset\MICC-F220\test\Forged\DSC_0535tamp133.jpg,Forged,Forged,1,0.05205656215548515,0.050724883,0.9492752
dataset\MICC-F220\test\Forged\DSC_0812tamp131.jpg,Forged,Forged,1,0.008152895607054234,0.008119719,0.99188024
dataset\MICC-F220\test\Forged\DSC_0812tamp25.jpg,Forged,Forged,1,0.027134500443935394,0.026769618,0.97323036
dataset\MICC-F220\test\Forged\DSC_0812tamp37.jpg,Forged,Forged,1,0.051768410950899124,0.05045127,0.9495487
dataset\MICC-F220\test\Forged\DSC_1535tamp1.jpg,Forged,Forged,1,0.1780674159526825,0.16311401,0.836886
dataset\MICC-F220\test\Forged\DSC_1540tamp133.jpg,Forged,Forged,1,0.10533395409584045,0.09997608,0.9000239
dataset\MICC-F220\test\Forged\DSC_1540tamp237.jpg,Forged,Forged,1,0.07931698858737946,0.076252915,0.92374706
dataset\MICC-F220\test\Forged\DSC_1540tamp25.jpg,Forged,Forged,1,0.05856020003557205,0.05687857,0.94312143
dataset\MICC-F220\test\Forged\DSC_1568tamp1.jpg,Forged,Forged,1,0.003825134364888072,0.003817769,0.99618214
dataset\MICC-F220\test\Forged\sony_61tamp131.jpg,Forged,Forged,1,0.1582210510969162,0.14633888,0.85366106
dataset\MICC-F220\test\Forged\sony_61tamp27.jpg,Forged,Forged,1,0.04761948063969612,0.046503413,0.9534965
