image_path,true_label,pred_label,correct,prob_Authentic,prob_Forged
dataset\MICC-f2000\train\Authentic\00001_scale.jpg,Authentic,Authentic,1,0.9873892,0.012610762
dataset\MICC-f2000\train\Authentic\00003_scale.jpg,Authentic,Authentic,1,0.95315254,0.046847474
dataset\MICC-f2000\train\Authentic\00004_scale.jpg,Authentic,Authentic,1,0.94461656,0.0553834
dataset\MICC-f2000\train\Authentic\00005_2_scale.jpg,Authentic,Authentic,1,0.9949209,0.0050790636
dataset\MICC-f2000\train\Authentic\00005_scale.jpg,Authentic,Authentic,1,0.9057976,0.094202355
dataset\MICC-f2000\train\Authentic\00006_2_scale.jpg,Authentic,Authentic,1,0.9014498,0.09855023
dataset\MICC-f2000\train\Authentic\00006_scale.jpg,Authentic,Authentic,1,0.9357273,0.06427269
dataset\MICC-f2000\train\Authentic\00007_2_scale.jpg,Authentic,Authentic,1,0.9952951,0.0047048675
dataset\MICC-f2000\train\Authentic\00007_scale.jpg,Authentic,Forged,0,0.17354576,0.8264542
dataset\MICC-f2000\train\Authentic\00009_2_scale.jpg,Authentic,Authentic,1,0.98425066,0.015749339
dataset\MICC-f2000\train\Authentic\00009_scale.jpg,Authentic,Authentic,1,0.95132536,0.048674602
dataset\MICC-f2000\train\Authentic\00010_2_scale.jpg,Authentic,Authentic,1,0.99087954,0.009120382
dataset\MICC-f2000\train\Authentic\00010_scale.jpg,Authentic,Authentic,1,0.9384059,0.061594103
dataset\MICC-f2000\train\Authentic\00012_scale.jpg,Authentic,Authentic,1,0.944594,0.055406008
dataset\MICC-f2000\train\Authentic\00014_2_scale.jpg,Authentic,Authentic,1,0.99649894,0.0035010437
dataset\MICC-f2000\train\Authentic\00016_2_scale.jpg,Authentic,Authentic,1,0.9814214,0.018578583
dataset\MICC-f2000\train\Authentic\00016_scale.jpg,Authentic,Authentic,1,0.9076514,0.09234852
dataset\MICC-f2000\train\Authentic\00017_2_scale.jpg,Authentic,Authentic,1,0.9902964,0.009703591
dataset\MICC-f2000\train\Authentic\00017_scale.jpg,Authentic,Authentic,1,0.9979311,0.0020688963
dataset\MICC-f2000\train\Authentic\00031_2_scale.jpg,Authentic,Authentic,1,0.98061484,0.019385127
dataset\MICC-f2000\train\Authentic\00032_2_scale.jpg,Authentic,Authentic,1,0.95971787,0.04028207
dataset\MICC-f2000\train\Authentic\00033_2_scale.jpg,Authentic,Authentic,1,0.9905786,0.009421352
dataset\MICC-f2000\train\Authentic\00033_scale.jpg,Authentic,Authentic,1,0.94406784,0.055932242
dataset\MICC-f2000\train\Authentic\00035_scale.jpg,Authentic,Authentic,1,0.979454,0.020546077
dataset\MICC-f2000\train\Authentic\DCAM0147_scale.jpg,Authentic,Authentic,1,0.9769786,0.023021385
dataset\MICC-f2000\train\Authentic\DCAM0158_scale.jpg,Authentic,Authentic,1,0.9520535,0.0479465
dataset\MICC-f2000\train\Authentic\DCAM0202_scale.jpg,Authentic,Authentic,1,0.9117635,0.088236466
dataset\MICC-f2000\train\Authentic\DCAM0502_scale.jpg,Authentic,Authentic,1,0.96909755,0.030902445
dataset\MICC-f2000\train\Authentic\DSC01169_scale.jpg,Authentic,Authentic,1,0.96373194,0.0362681
dataset\MICC-f2000\train\Authentic\DSC01171_scale.jpg,Authentic,Authentic,1,0.9444736,0.055526394
dataset\MICC-f2000\train\Authentic\DSC01172_scale.jpg,Authentic,Forged,0,0.3139369,0.6860631
dataset\MICC-f2000\train\Authentic\DSC01173_scale.jpg,Authentic,Authentic,1,0.80697316,0.1930268
dataset\MICC-f2000\train\Authentic\DSC01174_scale.jpg,Authentic,Authentic,1,0.9936953,0.0063046576
dataset\MICC-f2000\train\Authentic\DSC01176_scale.jpg,Authentic,Forged,0,0.030477656,0.96952236
dataset\MICC-f2000\train\Authentic\DSC01177_scale.jpg,Authentic,Authentic,1,0.8896428,0.11035722
dataset\MICC-f2000\train\Authentic\DSC01188_scale.jpg,Authentic,Authentic,1,0.89682496,0.10317512
dataset\MICC-f2000\train\Authentic\DSC01192_scale.jpg,Authentic,Authentic,1,0.9781302,0.021869779
dataset\MICC-f2000\train\Authentic\DSC01194_scale.jpg,Authentic,Authentic,1,0.89745647,0.1025435
dataset\MICC-f2000\train\Authentic\DSC01196_scale.jpg,Authentic,Authentic,1,0.94661623,0.053383835
dataset\MICC-f2000\train\Authentic\DSC01197_scale.jpg,Authentic,Authentic,1,0.91148597,0.088514015
dataset\MICC-f2000\train\Authentic\DSC01198_scale.jpg,Authentic,Authentic,1,0.9304969,0.06950312
dataset\MICC-f2000\train\Authentic\DSC01199_scale.jpg,Authentic,Authentic,1,0.95909804,0.04090193
dataset\MICC-f2000\train\Authentic\DSC01201_scale.jpg,Authentic,Authentic,1,0.94176435,0.058235615
dataset\MICC-f2000\train\Authentic\DSC01203_scale.jpg,Authentic,Authentic,1,0.8478371,0.15216294
dataset\MICC-f2000\train\Authentic\DSC01204_scale.jpg,Authentic,Authentic,1,0.93228614,0.06771393
dataset\MICC-f2000\train\Authentic\DSC01206_scale.jpg,Authentic,Authentic,1,0.8995062,0.10049379
dataset\MICC-f2000\train\Authentic\DSC01207_scale.jpg,Authentic,Authentic,1,0.95593655,0.044063415
dataset\MICC-f2000\train\Authentic\DSC01626_scale.jpg,Authentic,Authentic,1,0.98045874,0.019541267
dataset\MICC-f2000\train\Authentic\DSC01640_scale.jpg,Authentic,Forged,0,0.002189223,0.9978108
dataset\MICC-f2000\train\Authentic\DSC01843_scale.jpg,Authentic,Authentic,1,0.9693096,0.03069041
dataset\MICC-f2000\train\Authentic\DSC01844_scale.jpg,Authentic,Authentic,1,0.93363494,0.066365086
dataset\MICC-f2000\train\Authentic\DSC01919_scale.jpg,Authentic,Authentic,1,0.9003692,0.09963076
dataset\MICC-f2000\train\Authentic\DSCF0018_scale.jpg,Authentic,Forged,0,0.010146476,0.98985356
dataset\MICC-f2000\train\Authentic\DSCF0019_scale.jpg,Authentic,Authentic,1,0.8914681,0.10853183
dataset\MICC-f2000\train\Authentic\DSCF0021_scale.jpg,Authentic,Authentic,1,0.8076127,0.1923873
dataset\MICC-f2000\train\Authentic\DSCF0044_scale.jpg,Authentic,Authentic,1,0.93959993,0.06040007
dataset\MICC-f2000\train\Authentic\DSCF0132_scale.jpg,Authentic,Authentic,1,0.91676724,0.08323281
dataset\MICC-f2000\train\Authentic\DSCF0166_scale.jpg,Authentic,Authentic,1,0.9383941,0.061605923
dataset\MICC-f2000\train\Authentic\DSCF0200_scale.jpg,Authentic,Authentic,1,0.9942281,0.005771848
dataset\MICC-f2000\train\Authentic\DSCF0201_scale.jpg,Authentic,Forged,0,0.079229385,0.92077065
dataset\MICC-f2000\train\Authentic\DSCF0202_scale.jpg,Authentic,Authentic,1,0.9729181,0.027081927
dataset\MICC-f2000\train\Authentic\DSCF0203_scale.jpg,Authentic,Authentic,1,0.9495068,0.0504932
dataset\MICC-f2000\train\Authentic\DSCF0207_scale.jpg,Authentic,Authentic,1,0.94811493,0.051885094
dataset\MICC-f2000\train\Authentic\DSCF0211_scale.jpg,Authentic,Authentic,1,0.98022574,0.019774316
dataset\MICC-f2000\train\Authentic\DSCF0213_scale.jpg,Authentic,Authentic,1,0.90723836,0.092761606
dataset\MICC-f2000\train\Authentic\DSCF0216_scale.jpg,Authentic,Authentic,1,0.9569528,0.04304715
dataset\MICC-f2000\train\Authentic\DSCF0219_scale.jpg,Authentic,Authentic,1,0.89742833,0.10257166
dataset\MICC-f2000\train\Authentic\DSCF0222_scale.jpg,Authentic,Authentic,1,0.98823094,0.011769145
dataset\MICC-f2000\train\Authentic\DSCF0223_scale.jpg,Authentic,Authentic,1,0.95004636,0.049953703
dataset\MICC-f2000\train\Authentic\DSCF0227_scale.jpg,Authentic,Authentic,1,0.96016014,0.03983981
dataset\MICC-f2000\train\Authentic\DSCF0243_scale.jpg,Authentic,Authentic,1,0.9741192,0.02588085
dataset\MICC-f2000\train\Authentic\DSCF0244_scale.jpg,Authentic,Authentic,1,0.9770437,0.022956274
dataset\MICC-f2000\train\Authentic\DSCF0258_scale.jpg,Authentic,Authentic,1,0.93446195,0.065538034
dataset\MICC-f2000\train\Authentic\DSCF0259_scale.jpg,Authentic,Authentic,1,0.8498247,0.15017523
dataset\MICC-f2000\train\Authentic\DSCF0262_scale.jpg,Authentic,Authentic,1,0.98040235,0.019597609
dataset\MICC-f2000\train\Authentic\DSCF0264_scale.jpg,Authentic,Authentic,1,0.98385113,0.016148841
dataset\MICC-f2000\train\Authentic\DSCF0270_scale.jpg,Authentic,Authentic,1,0.9593072,0.040692765
dataset\MICC-f2000\train\Authentic\DSCF0278_scale.jpg,Authentic,Authentic,1,0.8009624,0.19903766
dataset\MICC-f2000\train\Authentic\DSCF0279_scale.jpg,Authentic,Authentic,1,0.8579562,0.14204387
dataset\MICC-f2000\train\Authentic\DSCF18_scale.jpg,Authentic,Forged,0,0.12570554,0.87429446
dataset\MICC-f2000\train\Authentic\DSCF8_scale.jpg,Authentic,Forged,0,0.026980463,0.9730196
dataset\MICC-f2000\train\Authentic\DSCN2329_scale.jpg,Authentic,Forged,0,0.3277447,0.6722553
dataset\MICC-f2000\train\Authentic\DSCN41_scale.jpg,Authentic,Authentic,1,0.59288806,0.4071119
dataset\MICC-f2000\train\Authentic\DSCN50_scale.jpg,Authentic,Authentic,1,0.9687191,0.031280827
dataset\MICC-f2000\train\Authentic\DSC_0002_01_scale.jpg,Authentic,Authentic,1,0.96992797,0.030072046
dataset\MICC-f2000\train\Authentic\DSC_0003_01_scale.jpg,Authentic,Authentic,1,0.946314,0.053686008
dataset\MICC-f2000\train\Authentic\DSC_0004_01_scale.jpg,Authentic,Authentic,1,0.9205938,0.079406224
dataset\MICC-f2000\train\Authentic\DSC_0011_01_scale.jpg,Authentic,Authentic,1,0.7520087,0.2479913
dataset\MICC-f2000\train\Authentic\DSC_0013_01_scale.jpg,Authentic,Forged,0,0.08813423,0.9118658
dataset\MICC-f2000\train\Authentic\DSC_0014_01_scale.jpg,Authentic,Authentic,1,0.90067416,0.09932587
dataset\MICC-f2000\train\Authentic\DSC_0015_01_scale.jpg,Authentic,Authentic,1,0.9009424,0.099057645
dataset\MICC-f2000\train\Authentic\DSC_0016_01_scale.jpg,Authentic,Authentic,1,0.9117505,0.0882495
dataset\MICC-f2000\train\Authentic\DSC_0017_01_scale.jpg,Authentic,Authentic,1,0.88060176,0.11939822
dataset\MICC-f2000\train\Authentic\DSC_0018_01_scale.jpg,Authentic,Authentic,1,0.8807212,0.11927876
dataset\MICC-f2000\train\Authentic\DSC_0021_01_scale.jpg,Authentic,Authentic,1,0.94579524,0.05420474
dataset\MICC-f2000\train\Authentic\DSC_0023_01_scale.jpg,Authentic,Authentic,1,0.921458,0.078541994
dataset\MICC-f2000\train\Authentic\DSC_0024_01_scale.jpg,Authentic,Authentic,1,0.95126915,0.048730876
dataset\MICC-f2000\train\Authentic\DSC_0030_01_scale.jpg,Authentic,Authentic,1,0.96540856,0.034591377
dataset\MICC-f2000\train\Authentic\DSC_0031_01_scale.jpg,Authentic,Authentic,1,0.8627272,0.13727283
dataset\MICC-f2000\train\Authentic\DSC_0032_01_scale.jpg,Authentic,Authentic,1,0.88270175,0.11729823
dataset\MICC-f2000\train\Authentic\DSC_0033_scale.jpg,Authentic,Authentic,1,0.94832563,0.051674344
dataset\MICC-f2000\train\Authentic\DSC_0035_01_scale.jpg,Authentic,Authentic,1,0.95421576,0.045784254
dataset\MICC-f2000\train\Authentic\DSC_0036_01_scale.jpg,Authentic,Authentic,1,0.85930645,0.14069352
dataset\MICC-f2000\train\Authentic\DSC_0038_01_scale.jpg,Authentic,Authentic,1,0.95630056,0.043699447
dataset\MICC-f2000\train\Authentic\DSC_0039_01_scale.jpg,Authentic,Authentic,1,0.9737941,0.026205894
dataset\MICC-f2000\train\Authentic\DSC_0040_01_scale.jpg,Authentic,Authentic,1,0.9921767,0.007823255
dataset\MICC-f2000\train\Authentic\DSC_0042_01_scale.jpg,Authentic,Authentic,1,0.8972255,0.10277447
dataset\MICC-f2000\train\Authentic\DSC_0043_01_scale.jpg,Authentic,Authentic,1,0.9332443,0.06675568
dataset\MICC-f2000\train\Authentic\DSC_0045_01_scale.jpg,Authentic,Authentic,1,0.9897356,0.010264382
dataset\MICC-f2000\train\Authentic\DSC_0046_01_scale.jpg,Authentic,Authentic,1,0.97573596,0.024264026
dataset\MICC-f2000\train\Authentic\DSC_0047_01_scale.jpg,Authentic,Authentic,1,0.992247,0.007753035
dataset\MICC-f2000\train\Authentic\DSC_0048_01_scale.jpg,Authentic,Authentic,1,0.9409156,0.059084393
dataset\MICC-f2000\train\Authentic\DSC_0050_01_scale.jpg,Authentic,Authentic,1,0.9420828,0.057917204
dataset\MICC-f2000\train\Authentic\DSC_0051_01_scale.jpg,Authentic,Authentic,1,0.9749555,0.025044434
dataset\MICC-f2000\train\Authentic\DSC_0052_01_scale.jpg,Authentic,Authentic,1,0.95477074,0.045229305
dataset\MICC-f2000\train\Authentic\DSC_0053_01_scale.jpg,Authentic,Authentic,1,0.93732405,0.06267591
dataset\MICC-f2000\train\Authentic\DSC_0055_01_scale.jpg,Authentic,Forged,0,0.036041427,0.9639586
dataset\MICC-f2000\train\Authentic\DSC_0064_01_scale.jpg,Authentic,Authentic,1,0.8786153,0.12138468
dataset\MICC-f2000\train\Authentic\DSC_0065_01_scale.jpg,Authentic,Authentic,1,0.9027687,0.09723131
dataset\MICC-f2000\train\Authentic\DSC_0066_01_scale.jpg,Authentic,Authentic,1,0.97417325,0.025826775
dataset\MICC-f2000\train\Authentic\DSC_0067_01_scale.jpg,Authentic,Authentic,1,0.8596101,0.14038996
dataset\MICC-f2000\train\Authentic\DSC_0068_scale.jpg,Authentic,Authentic,1,0.8960717,0.10392831
dataset\MICC-f2000\train\Authentic\DSC_0069_01_scale.jpg,Authentic,Authentic,1,0.9487299,0.05127006
dataset\MICC-f2000\train\Authentic\DSC_0069_scale.jpg,Authentic,Authentic,1,0.8716208,0.12837924
dataset\MICC-f2000\train\Authentic\DSC_0070_01_scale.jpg,Authentic,Authentic,1,0.9017643,0.09823571
dataset\MICC-f2000\train\Authentic\DSC_0070_scale.jpg,Authentic,Authentic,1,0.9628323,0.037167728
dataset\MICC-f2000\train\Authentic\DSC_0073_01_scale.jpg,Authentic,Authentic,1,0.99124104,0.00875894
dataset\MICC-f2000\train\Authentic\DSC_0077_scale.jpg,Authentic,Authentic,1,0.85488266,0.14511737
dataset\MICC-f2000\train\Authentic\DSC_0078_01_scale.jpg,Authentic,Authentic,1,0.99266726,0.007332754
dataset\MICC-f2000\train\Authentic\DSC_0080_01_scale.jpg,Authentic,Authentic,1,0.9711494,0.028850598
dataset\MICC-f2000\train\Authentic\DSC_0081_01_scale.jpg,Authentic,Authentic,1,0.91665894,0.08334107
dataset\MICC-f2000\train\Authentic\DSC_0081_scale.jpg,Authentic,Authentic,1,0.97311133,0.026888637
dataset\MICC-f2000\train\Authentic\DSC_0082_01_scale.jpg,Authentic,Authentic,1,0.95157945,0.048420556
dataset\MICC-f2000\train\Authentic\DSC_0082_scale.jpg,Authentic,Authentic,1,0.9273738,0.07262615
dataset\MICC-f2000\train\Authentic\DSC_0084_01_scale.jpg,Authentic,Authentic,1,0.8738644,0.12613557
dataset\MICC-f2000\train\Authentic\DSC_0087_01_scale.jpg,Authentic,Authentic,1,0.9437582,0.05624179
dataset\MICC-f2000\train\Authentic\DSC_0088_01_scale.jpg,Authentic,Authentic,1,0.93221766,0.06778235
dataset\MICC-f2000\train\Authentic\DSC_0089_01_scale.jpg,Authentic,Authentic,1,0.92268145,0.07731857
dataset\MICC-f2000\train\Authentic\DSC_0090_01_scale.jpg,Authentic,Authentic,1,0.9606718,0.039328262
dataset\MICC-f2000\train\Authentic\DSC_0091_scale.jpg,Authentic,Authentic,1,0.9331427,0.06685728
dataset\MICC-f2000\train\Authentic\DSC_0093_01_scale.jpg,Authentic,Authentic,1,0.91993487,0.08006512
dataset\MICC-f2000\train\Authentic\DSC_0094_01_scale.jpg,Authentic,Authentic,1,0.9233123,0.07668765
dataset\MICC-f2000\train\Authentic\DSC_0095_01_scale.jpg,Authentic,Authentic,1,0.90521926,0.09478073
dataset\MICC-f2000\train\Authentic\DSC_0096_01_scale.jpg,Authentic,Authentic,1,0.9814441,0.018555846
dataset\MICC-f2000\train\Authentic\DSC_0096_scale.jpg,Authentic,Authentic,1,0.85660636,0.14339362
dataset\MICC-f2000\train\Authentic\DSC_0097_01_scale.jpg,Authentic,Authentic,1,0.9460248,0.053975217
dataset\MICC-f2000\train\Authentic\DSC_0097_scale.jpg,Authentic,Forged,0,0.14340743,0.85659254
dataset\MICC-f2000\train\Authentic\DSC_0098_01_scale.jpg,Authentic,Authentic,1,0.9362804,0.06371963
dataset\MICC-f2000\train\Authentic\DSC_0099_scale.jpg,Authentic,Authentic,1,0.911496,0.08850397
dataset\MICC-f2000\train\Authentic\DSC_0101_01_scale.jpg,Authentic,Authentic,1,0.8996025,0.1003975
dataset\MICC-f2000\train\Authentic\DSC_0102_01_scale.jpg,Authentic,Authentic,1,0.8567984,0.14320159
dataset\MICC-f2000\train\Authentic\DSC_0103_scale.jpg,Authentic,Authentic,1,0.9701789,0.0298211
dataset\MICC-f2000\train\Authentic\DSC_0104_scale.jpg,Authentic,Authentic,1,0.7126594,0.28734058
dataset\MICC-f2000\train\Authentic\DSC_0106_01_scale.jpg,Authentic,Authentic,1,0.8271769,0.17282309
dataset\MICC-f2000\train\Authentic\DSC_0106_scale.jpg,Authentic,Authentic,1,0.9645854,0.035414506
dataset\MICC-f2000\train\Authentic\DSC_0107_01_scale.jpg,Authentic,Authentic,1,0.95845467,0.04154528
dataset\MICC-f2000\train\Authentic\DSC_0107_scale.jpg,Authentic,Authentic,1,0.9526611,0.047338888
dataset\MICC-f2000\train\Authentic\DSC_0108_01_scale.jpg,Authentic,Authentic,1,0.98821336,0.011786648
dataset\MICC-f2000\train\Authentic\DSC_0108_scale.jpg,Authentic,Authentic,1,0.9717515,0.028248522
dataset\MICC-f2000\train\Authentic\DSC_0109_scale.jpg,Authentic,Authentic,1,0.966926,0.03307397
dataset\MICC-f2000\train\Authentic\DSC_0110_01_scale.jpg,Authentic,Authentic,1,0.98316365,0.016836291
dataset\MICC-f2000\train\Authentic\DSC_0112_scale.jpg,Authentic,Authentic,1,0.947488,0.052511994
dataset\MICC-f2000\train\Authentic\DSC_0113_scale.jpg,Authentic,Authentic,1,0.9701166,0.029883374
dataset\MICC-f2000\train\Authentic\DSC_0115_01_scale.jpg,Authentic,Authentic,1,0.93700016,0.062999874
dataset\MICC-f2000\train\Authentic\DSC_0115_scale.jpg,Authentic,Authentic,1,0.96877116,0.031228863
dataset\MICC-f2000\train\Authentic\DSC_0116_scale.jpg,Authentic,Authentic,1,0.92399573,0.076004274
dataset\MICC-f2000\train\Authentic\DSC_0117_01_scale.jpg,Authentic,Authentic,1,0.9212403,0.07875964
dataset\MICC-f2000\train\Authentic\DSC_0119_scale.jpg,Authentic,Authentic,1,0.810896,0.18910404
dataset\MICC-f2000\train\Authentic\DSC_0120_scale.jpg,Authentic,Authentic,1,0.8832119,0.11678812
dataset\MICC-f2000\train\Authentic\DSC_0121_scale.jpg,Authentic,Authentic,1,0.9230386,0.07696144
dataset\MICC-f2000\train\Authentic\DSC_0123_01_scale.jpg,Authentic,Authentic,1,0.9058566,0.094143435
dataset\MICC-f2000\train\Authentic\DSC_0123_scale.jpg,Authentic,Authentic,1,0.95787996,0.042120077
dataset\MICC-f2000\train\Authentic\DSC_0124_01_scale.jpg,Authentic,Authentic,1,0.87717843,0.12282158
dataset\MICC-f2000\train\Authentic\DSC_0124_scale.jpg,Authentic,Authentic,1,0.91120875,0.08879124
dataset\MICC-f2000\train\Authentic\DSC_0125_01_scale.jpg,Authentic,Authentic,1,0.90551543,0.09448455
dataset\MICC-f2000\train\Authentic\DSC_0125_scale.jpg,Authentic,Authentic,1,0.96271485,0.037285134
dataset\MICC-f2000\train\Authentic\DSC_0126_scale.jpg,Authentic,Authentic,1,0.9458218,0.054178197
dataset\MICC-f2000\train\Authentic\DSC_0127_01_scale.jpg,Authentic,Authentic,1,0.9782694,0.021730654
dataset\MICC-f2000\train\Authentic\DSC_0127_scale.jpg,Authentic,Authentic,1,0.8549004,0.14509954
dataset\MICC-f2000\train\Authentic\DSC_0128_01_scale.jpg,Authentic,Authentic,1,0.97526234,0.024737619
dataset\MICC-f2000\train\Authentic\DSC_0128_scale.jpg,Authentic,Authentic,1,0.89911056,0.10088944
dataset\MICC-f2000\train\Authentic\DSC_0129_scale.jpg,Authentic,Authentic,1,0.89527553,0.10472447
dataset\MICC-f2000\train\Authentic\DSC_0130_scale.jpg,Authentic,Authentic,1,0.9105936,0.08940637
dataset\MICC-f2000\train\Authentic\DSC_0131_01_scale.jpg,Authentic,Authentic,1,0.9575863,0.042413704
dataset\MICC-f2000\train\Authentic\DSC_0131_scale.jpg,Authentic,Authentic,1,0.92671096,0.073288985
dataset\MICC-f2000\train\Authentic\DSC_0132_scale.jpg,Authentic,Authentic,1,0.8409294,0.15907058
dataset\MICC-f2000\train\Authentic\DSC_0133_01_scale.jpg,Authentic,Authentic,1,0.9163534,0.083646566
dataset\MICC-f2000\train\Authentic\DSC_0134_scale.jpg,Authentic,Authentic,1,0.92876434,0.07123564
dataset\MICC-f2000\train\Authentic\DSC_0136_01_scale.jpg,Authentic,Authentic,1,0.9837568,0.016243204
dataset\MICC-f2000\train\Authentic\DSC_0136_scale.jpg,Authentic,Authentic,1,0.8142552,0.18574484
dataset\MICC-f2000\train\Authentic\DSC_0138_01_scale.jpg,Authentic,Authentic,1,0.99133193,0.008668124
dataset\MICC-f2000\train\Authentic\DSC_0139_scale.jpg,Authentic,Authentic,1,0.80936915,0.19063084
dataset\MICC-f2000\train\Authentic\DSC_0140_01_scale.jpg,Authentic,Authentic,1,0.967448,0.03255205
dataset\MICC-f2000\train\Authentic\DSC_0140_scale.jpg,Authentic,Authentic,1,0.985,0.014999918
dataset\MICC-f2000\train\Authentic\DSC_0141_01_scale.jpg,Authentic,Authentic,1,0.9340126,0.065987386
dataset\MICC-f2000\train\Authentic\DSC_0141_scale.jpg,Authentic,Authentic,1,0.95215076,0.04784923
dataset\MICC-f2000\train\Authentic\DSC_0142_01_scale.jpg,Authentic,Authentic,1,0.88918465,0.11081532
dataset\MICC-f2000\train\Authentic\DSC_0142_scale.jpg,Authentic,Authentic,1,0.87391317,0.12608682
dataset\MICC-f2000\train\Authentic\DSC_0143_scale.jpg,Authentic,Authentic,1,0.9286895,0.07131054
dataset\MICC-f2000\train\Authentic\DSC_0144_01_scale.jpg,Authentic,Authentic,1,0.88988,0.11011993
dataset\MICC-f2000\train\Authentic\DSC_0145_scale.jpg,Authentic,Authentic,1,0.83189994,0.16810003
dataset\MICC-f2000\train\Authentic\DSC_0148_01_scale.jpg,Authentic,Authentic,1,0.9482535,0.051746547
dataset\MICC-f2000\train\Authentic\DSC_0148_scale.jpg,Authentic,Authentic,1,0.8887413,0.111258656
dataset\MICC-f2000\train\Authentic\DSC_0149_01_scale.jpg,Authentic,Authentic,1,0.9489304,0.05106968
dataset\MICC-f2000\train\Authentic\DSC_0149_scale.jpg,Authentic,Authentic,1,0.9187281,0.08127185
dataset\MICC-f2000\train\Authentic\DSC_0153_scale.jpg,Authentic,Forged,0,0.039466646,0.9605334
dataset\MICC-f2000\train\Authentic\DSC_0154_01_scale.jpg,Authentic,Authentic,1,0.97209823,0.027901791
dataset\MICC-f2000\train\Authentic\DSC_0154_scale.jpg,Authentic,Authentic,1,0.92996573,0.07003432
dataset\MICC-f2000\train\Authentic\DSC_0155_01_scale.jpg,Authentic,Authentic,1,0.9496398,0.05036018
dataset\MICC-f2000\train\Authentic\DSC_0156_scale.jpg,Authentic,Authentic,1,0.9659057,0.034094293
dataset\MICC-f2000\train\Authentic\DSC_0159_01_scale.jpg,Authentic,Authentic,1,0.98693556,0.013064451
dataset\MICC-f2000\train\Authentic\DSC_0159_scale.jpg,Authentic,Authentic,1,0.9308168,0.069183156
dataset\MICC-f2000\train\Authentic\DSC_0160_scale.jpg,Authentic,Authentic,1,0.9377176,0.06228237
dataset\MICC-f2000\train\Authentic\DSC_0162_01_scale.jpg,Authentic,Authentic,1,0.97209066,0.027909305
dataset\MICC-f2000\train\Authentic\DSC_0162_scale.jpg,Authentic,Authentic,1,0.86560863,0.13439141
dataset\MICC-f2000\train\Authentic\DSC_0163_01_scale.jpg,Authentic,Authentic,1,0.962073,0.037926983
dataset\MICC-f2000\train\Authentic\DSC_0166_scale.jpg,Authentic,Authentic,1,0.89615774,0.103842236
