image_path,true_label,pred_label,correct,loss,prob_Authentic,prob_Forged
dataset\columbia\test\Authentic\AU_SS_O_005.bmp,Authentic,Authentic,1,0.0237029530107975,0.97657573,0.023424204
dataset\columbia\test\Authentic\AU_SS_O_006.bmp,Authentic,Authentic,1,0.009374174289405346,0.9906696,0.009330375
dataset\columbia\test\Authentic\AU_SS_O_012.bmp,Authentic,Authentic,1,0.01420881599187851,0.98589164,0.014108292
dataset\columbia\test\Authentic\AU_SS_O_022.bmp,Authentic,Authentic,1,0.008168385364115238,0.99186486,0.008135098
dataset\columbia\test\Authentic\AU_SS_O_043.bmp,Authentic,Authentic,1,0.17569780349731445,0.8388715,0.16112857
dataset\columbia\test\Authentic\AU_SS_O_067.bmp,Authentic,Authentic,1,0.04299899935722351,0.9579123,0.04208761
dataset\columbia\test\Authentic\AU_SS_V_007.bmp,Authentic,Authentic,1,0.017319155856966972,0.98283,0.01717007
dataset\columbia\test\Authentic\AU_SS_V_019.bmp,Authentic,Authentic,1,0.02780938148498535,0.97257376,0.027426217
dataset\columbia\test\Authentic\AU_SS_V_021.bmp,Authentic,Forged,0,1.114660620689392,0.32802656,0.6719734
dataset\columbia\test\Authentic\AU_SS_V_028.bmp,Authentic,Authentic,1,0.0658421739935875,0.93627864,0.063721344
dataset\columbia\test\Authentic\AU_SS_V_036.bmp,Authentic,Authentic,1,0.01640123501420021,0.9837325,0.016267452
dataset\columbia\test\Authentic\AU_S_010.bmp,Authentic,Authentic,1,0.02895919233560562,0.9714561,0.028543929
dataset\columbia\test\Authentic\AU_S_019.bmp,Authentic,Authentic,1,0.006717361975461245,0.99330515,0.0066948994
dataset\columbia\test\Authentic\AU_S_020.bmp,Authentic,Authentic,1,0.050197046250104904,0.951042,0.048958037
dataset\columbia\test\Authentic\AU_S_021.bmp,Authentic,Authentic,1,0.0030721870716661215,0.9969325,0.0030675295
dataset\columbia\test\Authentic\AU_S_024.bmp,Authentic,Authentic,1,0.27214986085891724,0.7617401,0.23825988
dataset\columbia\test\Authentic\AU_S_030.bmp,Authentic,Authentic,1,0.001141492510214448,0.99885917,0.0011408095
