image_path,true_label,pred_label,correct,prob_Authentic,prob_Forged
dataset\columbia\train\Authentic\AU_SS_O_001.bmp,Authentic,Authentic,1,0.9857184,0.014281551
dataset\columbia\train\Authentic\AU_SS_O_002.bmp,Authentic,Authentic,1,0.979261,0.020739071
dataset\columbia\train\Authentic\AU_SS_O_003.bmp,Authentic,Authentic,1,0.979261,0.020739071
dataset\columbia\train\Authentic\AU_SS_O_004.bmp,Authentic,Authentic,1,0.98416847,0.015831567
dataset\columbia\train\Authentic\AU_SS_O_007.bmp,Authentic,Authentic,1,0.99587196,0.0041280617
dataset\columbia\train\Authentic\AU_SS_O_008.bmp,Authentic,Authentic,1,0.9845204,0.015479626
dataset\columbia\train\Authentic\AU_SS_O_009.bmp,Authentic,Authentic,1,0.9974349,0.002565064
dataset\columbia\train\Authentic\AU_SS_O_010.bmp,Authentic,Authentic,1,0.999516,0.00048394199
dataset\columbia\train\Authentic\AU_SS_O_011.bmp,Authentic,Authentic,1,0.9959139,0.0040860847
dataset\columbia\train\Authentic\AU_SS_O_013.bmp,Authentic,Authentic,1,0.98176974,0.018230194
dataset\columbia\train\Authentic\AU_SS_O_014.bmp,Authentic,Authentic,1,0.99767476,0.002325229
dataset\columbia\train\Authentic\AU_SS_O_015.bmp,Authentic,Authentic,1,0.9916013,0.008398686
dataset\columbia\train\Authentic\AU_SS_O_016.bmp,Authentic,Authentic,1,0.99727935,0.002720632
dataset\columbia\train\Authentic\AU_SS_O_019.bmp,Authentic,Authentic,1,0.9579123,0.04208761
dataset\columbia\train\Authentic\AU_SS_O_020.bmp,Authentic,Authentic,1,0.9103531,0.089646846
dataset\columbia\train\Authentic\AU_SS_O_021.bmp,Authentic,Authentic,1,0.9826836,0.017316405
dataset\columbia\train\Authentic\AU_SS_O_023.bmp,Authentic,Authentic,1,0.6950808,0.3049192
dataset\columbia\train\Authentic\AU_SS_O_024.bmp,Authentic,Authentic,1,0.9618019,0.038198136
dataset\columbia\train\Authentic\AU_SS_O_025.bmp,Authentic,Authentic,1,0.99774665,0.002253365
dataset\columbia\train\Authentic\AU_SS_O_027.bmp,Authentic,Authentic,1,0.9971513,0.002848716
dataset\columbia\train\Authentic\AU_SS_O_029.bmp,Authentic,Authentic,1,0.9960387,0.003961297
dataset\columbia\train\Authentic\AU_SS_O_030.bmp,Authentic,Authentic,1,0.681142,0.31885806
dataset\columbia\train\Authentic\AU_SS_O_031.bmp,Authentic,Authentic,1,0.8452009,0.15479912
dataset\columbia\train\Authentic\AU_SS_O_032.bmp,Authentic,Authentic,1,0.9212157,0.07878422
dataset\columbia\train\Authentic\AU_SS_O_033.bmp,Authentic,Authentic,1,0.9821302,0.017869817
dataset\columbia\train\Authentic\AU_SS_O_034.bmp,Authentic,Authentic,1,0.78656864,0.2134314
dataset\columbia\train\Authentic\AU_SS_O_035.bmp,Authentic,Authentic,1,0.9773991,0.022600856
dataset\columbia\train\Authentic\AU_SS_O_036.bmp,Authentic,Authentic,1,0.9773865,0.022613512
dataset\columbia\train\Authentic\AU_SS_O_037.bmp,Authentic,Authentic,1,0.92943126,0.070568725
dataset\columbia\train\Authentic\AU_SS_O_039.bmp,Authentic,Authentic,1,0.9856129,0.014387035
dataset\columbia\train\Authentic\AU_SS_O_041.bmp,Authentic,Authentic,1,0.9844812,0.015518779
dataset\columbia\train\Authentic\AU_SS_O_045.bmp,Authentic,Authentic,1,0.8545042,0.14549577
